sample_id,sample_label,run_name,compression_index,turn,step,pre_prompt_tokens,post_prompt_tokens,A_tokens,B1_tokens,B2_tokens,C1_tokens,B2_plus_C1_tokens,B2_over_B1,token_saving_pct,summary_generation_time_s
puzzle_0,P0,compressed,1,3,0,33659.0,4853.0,479.0,30106.0,1300.0,3074.0,4374.0,0.04318076131003787,85.58186517721857,145.708
puzzle_0,P0,compressed,2,11,0,33922.0,4851.0,479.0,30368.0,1298.0,3074.0,4372.0,0.04274236037934668,85.69954601733389,284.385
puzzle_0,P0,compressed,3,17,0,30216.0,4857.0,479.0,26663.0,1304.0,3074.0,4378.0,0.048906724674642764,83.92573471008737,232.446
puzzle_1,P1,compressed,1,6,0,33922.0,4848.0,472.0,30375.0,1302.0,3074.0,4376.0,0.0428641975308642,85.70838983550499,83.486
puzzle_1,P1,compressed,2,15,0,33797.0,4856.0,472.0,30251.0,1310.0,3074.0,4384.0,0.043304353575088425,85.63186081604877,133.91
puzzle_1,P1,compressed,3,22,0,33922.0,4854.0,472.0,30375.0,1308.0,3074.0,4382.0,0.04306172839506173,85.69070219916279,133.142
puzzle_10,P10,compressed,1,6,0,33922.0,4848.0,472.0,30375.0,1302.0,3074.0,4376.0,0.0428641975308642,85.70838983550499,83.486
puzzle_10,P10,compressed,2,15,0,33797.0,4856.0,472.0,30251.0,1310.0,3074.0,4384.0,0.043304353575088425,85.63186081604877,133.91
puzzle_10,P10,compressed,3,22,0,33922.0,4854.0,472.0,30375.0,1308.0,3074.0,4382.0,0.04306172839506173,85.69070219916279,133.142
puzzle_2,P2,compressed,1,4,0,30722.0,4418.0,494.0,27154.0,850.0,3074.0,3924.0,0.03130293879354791,85.6194258186316,117.066
puzzle_2,P2,compressed,2,10,0,33102.0,4682.0,494.0,29534.0,1114.0,3074.0,4188.0,0.03771923884336697,85.85583952631261,292.334
puzzle_2,P2,compressed,3,16,0,33922.0,4900.0,494.0,30353.0,1332.0,3074.0,4406.0,0.04388363588442658,85.55509698720594,299.011
puzzle_2,P2,compressed,4,22,0,33922.0,4905.0,494.0,30353.0,1337.0,3074.0,4411.0,0.04404836424735611,85.54035729025411,134.251
puzzle_3,P3,compressed,1,5,0,31030.0,4424.0,498.0,27518.0,912.0,3014.0,3926.0,0.03314194345519297,85.74282951981954,44.593
puzzle_3,P3,compressed,2,13,0,31615.0,4847.0,498.0,28043.0,1275.0,3074.0,4349.0,0.0454658916663695,84.66866993515735,89.519
puzzle_3,P3,compressed,3,21,0,31292.0,4870.0,498.0,27720.0,1298.0,3074.0,4372.0,0.046825396825396826,84.43691678384252,133.637
puzzle_4,P4,compressed,1,6,0,33015.0,4713.0,504.0,29437.0,1135.0,3074.0,4209.0,0.0385569181642151,85.72467060427078,62.837
puzzle_4,P4,compressed,2,14,0,30267.0,3989.0,504.0,27608.0,1330.0,2155.0,3485.0,0.048174442190669374,86.82062972874748,99.86
puzzle_4,P4,compressed,3,20,0,33922.0,4921.0,504.0,30343.0,1343.0,3074.0,4417.0,0.04426062024190093,85.49319026000826,187.399
puzzle_5,P5,compressed,1,4,0,33745.0,4438.0,481.0,30190.0,883.0,3074.0,3957.0,0.029248095395826432,86.84842198844274,48.062
puzzle_5,P5,compressed,2,10,0,31742.0,4856.0,481.0,28187.0,1301.0,3074.0,4375.0,0.04615602937524391,84.70165711045303,86.525
puzzle_5,P5,compressed,3,16,0,32972.0,4875.0,481.0,29417.0,1320.0,3074.0,4394.0,0.044872012781724854,85.21472764770108,132.622
puzzle_5,P5,compressed,4,22,0,33654.0,4874.0,481.0,30099.0,1319.0,3074.0,4393.0,0.04382205388883351,85.51732334937897,132.813
puzzle_6,P6,compressed,1,5,0,31060.0,5556.0,479.0,26338.0,834.0,4243.0,5077.0,0.03166527450831498,82.1120412105602,41.297
puzzle_6,P6,compressed,2,14,0,32361.0,4790.0,479.0,28808.0,1237.0,3074.0,4311.0,0.0429394612607609,85.19823244028306,111.104
puzzle_6,P6,compressed,3,20,0,30612.0,4855.0,479.0,27059.0,1302.0,3074.0,4376.0,0.04811707749732067,84.14020645498498,131.636
puzzle_7,P7,compressed,1,3,0,30683.0,4876.0,471.0,27138.0,1331.0,3074.0,4405.0,0.04904561868966025,84.1084639702767,59.771
puzzle_7,P7,compressed,2,10,0,31143.0,4842.0,471.0,27598.0,1297.0,3074.0,4371.0,0.04699615914196681,84.45236489740873,87.3
puzzle_7,P7,compressed,3,19,0,33922.0,4862.0,471.0,30376.0,1317.0,3074.0,4391.0,0.043356597313668685,85.66711868403985,102.66
puzzle_8,P8,compressed,1,3,0,31144.0,4887.0,484.0,27586.0,1329.0,3074.0,4403.0,0.048176611324584936,84.30837400462369,96.997
puzzle_8,P8,compressed,2,11,0,31074.0,5987.0,484.0,26409.0,1322.0,4181.0,5503.0,0.05005869211253739,80.73308875587307,100.692
puzzle_8,P8,compressed,3,17,0,30029.0,4886.0,484.0,26471.0,1328.0,3074.0,4402.0,0.05016810849609006,83.7290619068234,100.77
puzzle_8,P8,compressed,4,22,0,30075.0,4870.0,484.0,26517.0,1312.0,3074.0,4386.0,0.049477693555077876,83.80714879467996,100.485
puzzle_9,P9,compressed,1,4,0,32450.0,4872.0,468.0,28908.0,1330.0,3074.0,4404.0,0.04600802546008025,84.98613251155625,78.223
puzzle_9,P9,compressed,2,11,0,33459.0,4865.0,468.0,29917.0,1323.0,3074.0,4397.0,0.04422234849750978,85.45981649182582,132.823
puzzle_9,P9,compressed,3,17,0,32244.0,4860.0,468.0,28702.0,1318.0,3074.0,4392.0,0.04592014493763501,84.92742835876442,101.688
puzzle_9,P9,compressed,4,23,0,30035.0,5154.0,468.0,26440.0,1560.0,3126.0,4686.0,0.059001512859304085,82.84001997669385,107.068
